follower_id,follows
30,1
33,5
43,13
54,40
55,6
56,1
57,64
60,2
63,68
144,54
268,64
307,1793
541,132
652,1
737,9
871,656
1093,23
1200,13
1231,1
1332,26
1360,36
1407,40
1409,22
1410,2
1412,241
1413,191
1415,4
1451,7
1455,28
1535,77
1762,19
1977,60
1992,623
2066,23
2158,95
2284,331
2302,325
2326,225
2333,1
2343,80
2372,13
2404,28
2441,532
2442,38
2446,3
2451,26
2455,53
2458,60
2474,107
2481,49
2482,3
2493,66
2496,9
2600,20
2699,20
2703,17
2707,26
2747,86
2781,47
2885,26
2888,847
2940,26
2971,12
2996,76
3005,30
3047,25
3165,2
3172,79
3220,9
3232,202
3246,20
3252,117
3257,1
3264,90
3265,13
3275,44
3279,22
3280,5
3319,5
3324,112
3329,22
3330,8
3334,407
3339,38
3340,41
3393,97
3396,41
3404,194
3408,251
3463,2
3464,120
3472,19
3492,83
3502,10
3508,81
3516,23
3520,337
3596,48
3609,8
3613,136
3616,23
3623,24
3627,19
3635,184
3650,27
3671,983
3676,80
3678,54
3692,19
3759,57
4199,179
4214,42
4297,111
4366,29
4386,1
4445,58
4460,32
4537,10
4541,290
4543,2
4557,24
4563,30
4564,1
4571,2
4650,137
4677,51
4735,50
4772,80
4779,23
4793,22
4904,14
4921,52
5016,67
5094,1
5230,6
5524,5
5577,10
5638,167
5671,112
5893,16
5918,10
6061,9
6089,48
6095,50
6104,9
6127,70
6164,93
6167,70
6211,44
6249,3
6251,165
6254,430
6271,2
6468,27
6471,28
6553,5
6658,27
6856,18
6929,20
7069,288
7117,160
7140,228
7199,3
7344,10
7530,60
7536,12
7553,8
7647,2
7682,11
7691,4
7750,6
7804,41
7837,750
7867,52
7916,18
7918,34
7937,49
7982,678
7999,62
8021,68
8025,649
8034,54
8039,7
8045,70
8114,182
8125,61
8239,204
8295,236
8310,61
8312,77
8320,1
8367,19
8368,121
8398,10
8503,75
8527,9
8534,101
8535,6
8590,4
8861,1
8875,11
8944,98
9022,55
9081,11
9095,15
9258,40
9284,6
9316,3
9325,9
9381,9
9387,74
9592,29
9718,274
9756,33
9802,11
9843,6
9867,27
9883,13
9884,102
9896,68
9928,43
10141,150
10167,360
10322,54
10411,77
10559,4
10762,44
10855,6
10958,11
10993,10
11036,501
