owner_id,fork_count
30,56
33,24
43,27
54,62
55,9
56,7
57,46
60,11
63,117
144,31
268,18
307,90
541,51
737,9
871,1096
1093,32
1200,18
1231,11
1332,111
1360,1
1407,17
1409,30
1410,6
1412,93
1413,535
1415,1
1451,103
1455,155
1535,12
1762,11
1977,20
1992,86
2066,34
2158,39
2284,89
2302,36
2326,2
2333,28
2343,20
2372,23
2404,253
2441,75
2442,22
2446,8
2451,41
2455,23
2458,20
2474,15
2481,5
2482,1
2493,35
2496,7
2510,9
2600,25
2699,5
2703,9
2707,7
2747,55
2781,8
2885,29
2888,52
2940,19
2971,18
2996,15
3005,39
3047,1
3165,7
3172,5
3220,11
3232,66
3246,19
3252,49
3257,8
3264,29
3265,25
3275,3
3279,28
3280,16
3319,3
3324,251
3329,45
3334,144
3339,36
3340,3
3393,19
3396,11
3404,329
3408,14
3463,6
3464,13
3472,7
3492,51
3502,23
3508,181
3516,18
3520,46
3596,43
3609,28
3613,76
3616,67
3623,38
3627,19
3635,2
3650,29
3671,587
3676,18
3678,35
3692,15
3759,20
4199,28
4214,24
4297,53
4366,8
4386,1
4445,66
4460,7
4537,81
4541,88
4543,2
4557,15
4563,12
4564,2
4571,6
4650,27
4677,16
4735,35
4772,17
4779,9
4793,16
4904,18
4921,60
5016,96
5094,24
5230,82
5524,22
5577,9
5638,91
5671,40
5888,101
5893,29
5918,43
6061,26
6071,9
6089,78
6095,178
6104,13
6127,53
6164,77
6167,35
6211,19
6249,13
6251,187
6254,114
6271,17
6468,36
6471,6
6553,18
6658,19
6929,171
7069,48
7117,27
7140,69
7199,35
7344,59
7530,27
7536,22
7647,6
7682,2
7691,4
7750,11
7804,57
7837,79
7867,70
7916,266
7918,34
7937,23
7982,40
7999,136
8021,14
8025,23
8034,34
8039,4
8045,18
8114,149
8125,35
8239,485
8295,105
8312,412
8320,10
8367,20
8368,20
8398,15
8503,9
8521,2
8527,9
8534,4
8535,30
8590,15
8861,16
8875,6
8936,8
8944,55
9022,25
9067,6
9081,20
9095,12
9284,20
9316,71
9325,11
9381,38
9387,49
9592,8
9718,95
9756,17
9802,14
9843,25
9867,6
9883,4
9884,32
9896,27
9928,42
10141,3
10167,12
10322,95
10411,48
10559,18
10762,9
10855,5
10958,19
10993,1382
11036,20
11233,4
11255,39
11258,24
11270,118
11405,61
11498,31
11579,92
11582,34
11593,30
11603,221
11655,23
11657,16
11959,20
11961,162
11975,25
11988,10
12052,47
12078,3
12096,18
12117,16
12118,111
12120,71
12122,9
12213,9
12359,30
12369,23
12377,33
12486,3
12523,5
12563,97
12633,1
12732,30
12764,6
12767,71
12826,162
12829,29
12836,219
12856,44
12864,13
12916,15
12931,98
13100,28
13131,15
13136,29
13156,125
13170,59
13179,324
13206,15
13208,48
13374,120
13422,5
13429,11
13511,118
13544,8
13699,11
13713,14
13827,21
13833,14
13847,8
13950,138
14017,67
14138,12
14177,13
14180,181
14285,15
14298,16
