user_id,star_count
30,6
33,127
43,14
54,715
55,31
56,43
57,1650
60,39
63,185
144,687
268,528
307,2730
541,283
652,245
737,132
871,4803
1093,109
1200,472
1231,113
1332,1775
1360,157
1407,144
1409,413
1410,431
1412,951
1413,1116
1415,26
1451,718
1455,743
1535,135
1762,311
1977,1020
1992,3319
2066,641
2158,298
2284,942
2302,3213
2326,102
2333,162
2343,1252
2372,869
2404,3616
2441,5484
2442,1140
2446,70
2451,1241
2455,330
2458,833
2474,1375
2481,199
2482,52
2493,351
2496,316
2510,407
2600,610
2699,80
2703,73
2707,101
2747,571
2781,203
2885,740
2888,1088
2940,829
2971,165
2996,3872
3005,1101
3047,208
3165,51
3172,35
3220,209
3232,516
3246,248
3252,1197
3257,773
3264,992
3265,265
3275,326
3279,407
3280,222
3319,32
3324,1174
3329,1638
3330,10
3334,3417
3339,197
3340,232
3393,1869
3396,957
3404,1507
3408,711
3463,5
3464,1155
3472,99
3492,1927
3502,334
3508,371
3516,709
3520,1904
3596,417
3609,1262
3613,453
3616,2185
3623,296
3627,130
3635,3330
3650,982
3671,1332
3676,758
3678,224
3692,3254
3759,387
4199,614
4214,72
4297,376
4366,500
4386,19
4445,2129
4460,289
4537,573
4541,1771
4543,104
4557,219
4563,263
4564,112
4571,65
4650,663
4677,154
4735,1688
4772,469
4779,316
4793,909
4904,70
4921,203
5016,1645
5094,52
5230,477
5524,4
5577,592
5638,1419
5671,1027
5888,14
5893,1047
5918,694
6061,288
6071,11
6089,839
6095,104
6104,341
6127,166
6164,247
6167,106
6211,469
6249,188
6251,1082
6254,1185
6271,452
6468,136
6471,538
6553,287
6658,43
6856,43
6929,3308
7069,5469
7117,2253
7140,617
7199,41
7344,215
7530,584
7536,281
7553,15
7647,26
7682,37
7691,104
7750,123
7804,239
7837,1220
7867,522
7916,290
7918,76
7937,296
7982,1287
7999,349
8021,379
8025,8046
8034,1388
8039,53
8045,174
8114,649
8125,2234
8239,779
8295,2976
8310,55
8312,675
8320,89
8367,89
8368,249
8398,558
8503,1421
8521,162
8527,219
8534,569
8535,77
8590,133
8861,9
8875,224
8936,8
8944,319
9022,627
9067,169
9081,49
9095,163
9258,131
9284,26
9316,197
9325,41
9381,593
9387,1594
9592,173
9718,2198
9756,49
9802,236
9843,234
9867,116
9883,252
9884,766
9896,634
9928,319
10141,145
10167,2031
10322,316
10411,497
10559,159
10762,720
10855,20
10958,223
10993,173
11036,1265
11233,161
11255,2168
11258,629
11270,1322
11405,364
11498,852
11579,2698
11582,331
11593,75
11603,474
11655,78
11657,175
11959,1492
11961,1097
11975,2016
11988,240
12052,952
12078,220
12096,1165
12117,697
12118,762
12120,337
12122,1
12213,162
12359,35
12369,91
12377,469
12486,374
12523,237
12563,24
12633,53
12732,3104
12764,192
12767,1326
12826,5087
12829,112
12836,3283
12856,952
12864,12
12916,174
12931,7413
13100,150
13131,1296
13136,195
13156,6319
13170,52
13179,128
13206,922
13208,717
13374,73
13422,97
13429,47
13511,714
13544,136
13699,203
13713,115
13827,72
13833,524
13847,320
13950,107
14017,1828
14138,29
14177,1
14180,321
14285,176
14298,72
14309,1535
14310,720
14374,187
14395,3674
14467,890
14615,176
14646,2
14651,534
14668,285
14676,514
14682,118
14688,87
14705,232
14745,1282
14788,4
14812,98
14830,209
14839,59
14848,1923
14873,18
14920,1310
15090,38
15210,14
15243,627
15255,216
15310,610
15446,83
15465,232
15466,535
15661,1672
15808,2
15898,244
16067,163
16182,36
16188,20
16197,77
16200,42
16207,147
16223,1124
16258,24
16362,64
16381,683
16441,3
16475,331
16500,402
16559,60
16567,120
16713,6
16714,313
16771,588
16824,10
16830,1255
16860,196
16914,266
16937,574
17087,572
17213,65
17372,109
17373,534
17569,10
17596,1112
17658,1
17825,1916
17833,1009
17840,638
17920,840
18124,3721
18160,1846
18203,46
18235,40
18270,454
18313,653
18317,54
18385,2390
18388,222
18420,52
18422,152
18430,46
18455,401
18461,265
18467,396
18497,166
18503,170
18509,404
18513,593
18521,463
18571,1214
18584,5801
18586,30
18612,87
18618,209
18720,536
18748,172
18762,212
18765,22
18785,1744
18788,230
18807,945
18858,59
18888,332
18906,707
18913,583
18958,1926
18959,261
18962,895
18982,95
18986,426
18999,706
19003,564
19030,371
19044,20
19058,256
19061,1682
19076,466
19080,265
19081,263
19129,209
19190,220
19257,66
19296,763
19316,2478
19317,154
19349,347
19384,1481
19408,713
19435,1939
19487,293
19511,1298
19592,763
19599,725
19631,22
19632,153
19759,208
19803,3013
19890,296
19916,1211
20004,272
20021,67
20089,56
20213,134
20292,98
20293,314
20296,1056
20297,3416
20298,95
20311,404
20316,1090
20318,707
20325,13
20329,1171
20332,638
20333,552
20335,1260
20338,121
20340,2335
20341,230
20343,147
20346,715
20347,461
20352,25
20358,77
20367,2613
20507,353
20552,257
20608,190
20621,66
20656,81
20751,1050
20780,84
20781,81
20790,167
20798,16
20799,720
20811,338
20844,181
20846,278
20874,63
20917,694
21021,2476
21044,922
21109,52
21159,187
21205,3972
21345,218
21346,1910
21398,570
21399,110
21401,6648
21419,369
21441,403
21451,1
21452,1
21476,977
21506,304
21557,139
21612,446
21708,24
21730,6942
21789,1282
21890,158
21950,1284
21968,102
21981,120
22003,81
22012,60
22047,17
22138,109
22147,393
22206,43
22207,229
22571,179
22663,101
22687,440
22738,27
22783,187
22808,375
22878,58
22920,29
22946,1481
22982,558
23050,180
23058,91
23059,61
23071,221
23161,340
23234,631
23252,102
23333,415
23348,233
23409,433
23410,1979
23421,325
23489,490
23506,1894
23547,112
23549,246
23580,2492
23585,195
23632,1536
23694,1591
23701,98
23790,572
24015,1312
24016,326
24193,315
24240,27
24466,13
24515,264
24539,104
24587,231
24607,349
24710,179
24729,127
24858,347
25034,597
25179,81
25366,392
25446,274
25447,309
25493,484
25518,2
25569,337
25581,246
25692,73
25706,65
25708,152
25722,2370
25747,11
25748,10
25767,23
25903,44
25908,979
25947,257
25951,47
25962,2117
25965,652
26070,5
26078,1813
26095,180
26164,106
26171,392
26194,211
26221,1817
26231,13
26244,1293
26321,193
26423,407
26451,675
26453,4
26466,481
26478,226
26610,285
26766,87
26831,505
26900,162
26980,330
27229,858
27346,402
27369,617
27389,292
27579,120
27614,1037
27627,28
27661,757
27701,1059
27721,305
28033,2304
28129,229
28131,986
28198,174
28199,811
28206,658
28456,187
28504,277
28537,15
28538,13
28539,63
28698,388
28699,745
28747,213
28823,554
28892,2
28908,142
28931,684
28943,147
28946,201
28961,1382
29001,1086
29147,429
29161,1835
