follower_id,follows
358,5
397,60
415,10
441,2
462,44
579,68
638,56
657,17
698,63
704,9
715,26
755,94
922,2
953,5
1141,22
1214,42
1286,121
1319,15
1352,78
1443,23
1726,125
1908,50
2160,4
2161,22
2405,42
3149,11
3153,19
3420,14
3449,5
3478,3
3634,2
3645,13
3646,89
4418,120
4425,59
4616,15
4751,37
4841,16
4861,1
4990,12
5868,76
6096,5
6102,48
6107,33
6497,12
6592,11
6833,1
7118,3
7473,2
7657,23
7787,19
7815,6
7842,22
7851,17
7978,21
8037,3
8077,80
8099,24
8311,54
8829,189
8869,1
8967,101
9275,11
9362,16
9516,10
9532,1
9980,10
10001,27
10056,25
10139,1
10278,6
10315,38
10347,31
10352,12
10356,19
10370,7
10401,1
10678,40
10769,44
10957,6
11148,85
11438,2
11494,30
11517,6
11736,1
11971,19
12013,58
12014,33
12128,22
12307,16
12335,4
12589,20
12709,51
12854,29
12862,11
13113,32
13151,5
13451,1
13498,16
14183,14
14229,10
14490,33
14707,19
14728,4
14759,13
14857,5
14860,40
14863,121
14864,14
15150,14
15299,22
15353,98
15407,114
15490,11
16576,1
16722,23
16889,1
17106,7
17117,1
17476,21
17732,6
17791,11
18185,50
18441,11
18520,44
18731,1
18790,7
19065,29
19207,7
19709,11
19730,53
19733,31
19758,114
19807,4
20242,869
20540,388
20566,146
20689,15
20741,1
20830,3
20843,37
20847,7
20856,3
20879,26
20983,3
20996,8
21136,8
21474,18
21652,30
21863,9
22453,1204
22501,15
22709,54
23038,1
23179,7
23389,12
23397,51
23402,147
23455,113
23468,6
23469,22
23484,7
23498,2
23521,4
23525,97
23571,1
23670,105
24760,84
25232,18
25471,17
25533,8
25901,21
26277,76
26318,16
26673,63
26756,4
27356,50
27473,55
27861,8
28163,57
28493,10
28494,63
28653,142
28655,9
28673,6
28675,12
29444,126
29572,93
29590,18
29840,26
29895,91
30363,16
30424,80
30783,4
30867,12
31012,8
31625,13
31939,4
32011,20
32237,64
32408,2
32449,5
32488,4
32489,67
32555,1
32560,12
32651,21
32740,45
32773,25
32898,25
33014,1
33051,24
33250,1
33475,5
33529,15
33533,86
33671,146
33672,8
33922,21
34129,6
34256,142
34268,6
34567,20
34612,4
34703,20
34739,5
35256,7
35477,1
36079,50
36441,11
36445,2
36522,6
36556,13
36771,465
36803,2
37379,32
37433,12
38018,40
38163,18
38199,21
38201,5
38270,2
38306,6
38372,153
38506,177
38519,25
38522,36
38534,19
38575,5
38620,9
38626,1
39185,2
39270,17
39557,96
39572,29
39721,3
40465,7
40542,1
40567,14
40663,21
40979,1
40999,35
41020,11
41038,296
41064,85
41432,5
41571,5
41626,11
41715,2
42031,1
42150,55
42255,10
42777,18
42840,20
43165,3
43217,9
43410,26
43728,2
43763,1
43797,1
43798,33
43941,21
44021,23
44212,22
44420,93
44426,11
44495,5
44839,5
45451,19
45551,11
45590,108
45775,1
45895,16
45945,4
46053,228
46092,3
46143,88
46162,16
46198,44
46228,2
46237,4
46239,1
46360,6
46523,35
46524,5
46866,8
46971,8
47049,28
47090,48
47385,2
47597,172
47789,17
47890,12
47891,447
47897,5
48067,29
48159,159
48262,19
48406,3
48454,116
48484,5
48749,10
48820,116
49170,113
49250,3
49310,3
49360,2
49403,2
49457,2
49502,5
49523,57
50528,1
50554,5
50611,1
50737,38
50943,17
51119,2
51235,22
51249,1
51251,10
51271,3
51273,1
51306,13
51331,194
51365,3
51411,8
51528,4
51703,244
52315,37
52794,8
52876,9
53001,24
53100,7
53271,2
53595,44
53622,1
53627,32
53634,7
53768,76
53934,6
53972,1
54394,15
54420,1
54828,31
55334,41
55431,14
55446,6
55459,86
55597,2
55834,5
56007,1
57308,41
57598,3
58016,1
59226,7
59258,5
59384,21
59701,3
59809,1
59857,4
59952,51
60019,2
60637,45
60867,11
60931,10
60953,19
61011,290
61090,1
61093,13
61095,108
61103,11
61620,26
61753,342
61952,1
61971,52
62130,1
62574,2
62683,25
