owner_id,fork_count
358,17
397,73
415,12
441,11
462,139
579,36
638,30
657,57
698,12
704,14
715,20
755,120
809,7
922,1
953,261
1141,17
1214,21
1286,30
1319,15
1352,36
1443,18
1726,38
1908,24
2160,18
2161,31
2405,5
2479,636
3144,122
3149,4
3153,8
3420,3
3449,10
3634,4
3645,30
3646,44
3775,41
3778,1
4418,47
4425,87
4616,14
4751,50
4841,43
4861,9
4990,12
5066,12
5868,79
6096,7
6102,22
6107,24
6497,262
6592,67
6833,16
7118,10
7473,42
7657,47
7787,41
7815,29
7842,28
7851,36
7978,33
8037,5
8077,59
8099,7
8115,3
8311,83
8829,107
8869,6
8967,5
9275,4
9362,26
9516,10
9532,9
9980,66
10001,35
10056,20
10139,5
10278,16
10315,14
10347,13
10352,8
10356,20
10360,1
10370,16
10385,8
10401,12
10678,62
10769,16
10957,2
11148,155
11438,6
11494,34
11517,46
11735,3
11736,1
11971,90
12013,27
12014,12
12128,8
12252,18
12335,3
12514,2
12589,41
12709,8
12854,22
12862,35
13113,51
13151,14
13309,19
13451,4
13498,25
14166,6
14183,15
14229,14
14490,44
14523,1
14707,130
14728,11
14759,30
14857,57
14860,185
14863,72
14864,22
15050,14
15150,27
15299,20
15353,24
15407,45
15490,40
16576,23
16722,17
17106,28
17117,6
17476,29
17718,1
17732,3
17791,21
18185,10
18441,5
18520,26
18731,2
18790,2
19065,28
19207,11
19709,3
19733,35
19758,235
19807,17
20242,267
20540,264
20566,236
20689,1
20741,10
20830,5
20833,12
20843,123
20847,47
20856,1
20879,57
20983,23
21052,5
21136,7
21474,13
21652,17
21863,1
22453,122
22501,46
22709,39
23038,20
23173,179
23179,3
23264,8
23397,854
23402,316
23455,80
23468,22
23469,42
23484,23
23498,19
23521,34
23525,10
23571,15
23670,59
23708,9
24760,618
25232,33
25471,6
25533,7
25901,12
26271,3
26277,51
26318,7
26571,57
26673,4
26756,7
26954,6
27356,29
27473,29
27861,29
28163,22
28493,98
28494,55
28653,53
28655,15
28673,9
28675,9
29444,41
29572,26
29590,11
29840,211
29895,87
30363,31
30424,25
30783,4
30867,28
31012,11
31625,45
31626,1
31939,16
32011,19
32237,51
32238,11
32408,28
32449,3
32488,4
32489,72
32491,2
32555,2
32560,39
32563,6
32651,57
32740,11
32773,7
32898,31
33014,4
33051,97
33250,22
33475,11
33529,17
33533,38
33671,28
33672,41
33922,46
34129,17
34256,23
34268,54
34567,16
34612,11
34703,20
34739,5
35256,32
35477,11
36079,4
36441,5
36445,5
36522,5
36556,25
36771,20
36803,58
36888,13
37379,151
37433,92
37763,24
38018,14
38163,26
38199,46
38201,10
38270,7
38306,2
38372,11
38506,24
38519,3
38522,73
38534,35
38575,13
38620,18
38626,19
39185,14
39199,11
39270,31
39510,13
39557,22
39572,50
39721,80
40465,1
40542,5
40567,3
40663,23
40979,36
40999,14
41020,28
41038,77
41064,4
41432,17
41571,36
41626,7
41715,68
41782,2
41980,19
42150,37
42255,6
42777,3
42840,18
43165,4
43217,1
43316,4
43410,42
43728,13
43763,2
43797,8
43798,12
43809,1
43941,6
44021,172
44212,6
44339,3
44420,13
44426,46
44495,12
44723,2
44839,19
44918,2
45174,11
45451,19
45551,10
45572,2
45590,448
45875,8
45895,20
45945,5
46053,19
46092,4
46143,32
46162,16
46198,14
46228,1
46237,25
46239,1
46360,13
46523,23
46524,25
46694,6
46740,6
46866,37
46971,24
47049,14
47090,10
47597,132
47789,576
47817,2
47890,15
47891,11
47897,4
48067,19
48159,107
48262,20
48454,84
48484,3
48541,56
48749,5
48820,16
49170,9
49250,5
49310,2
49360,22
49403,20
49457,2
49502,10
49523,84
49745,5
50528,34
50554,18
50611,3
50737,31
50943,26
51206,9
51235,51
51237,2
51244,2
51249,14
51251,36
51252,2
51271,38
51273,8
51276,15
51279,24
51293,1
51306,33
51331,86
51365,16
51411,13
51437,1
51528,1
51679,28
51703,57
52315,11
52322,5
52794,6
52876,16
53001,15
53100,12
53271,3
53416,8
53595,28
53622,19
53627,34
53634,13
53752,2
53768,15
53782,14
53934,47
53935,10
53972,2
54394,1
54420,6
54775,7
54828,28
55334,118
55431,36
55446,21
55459,16
55597,2
55649,82
55834,5
56007,5
57308,11
57598,6
57924,9
58016,2
59226,18
59253,2
59258,26
59384,10
59456,9
59701,5
59702,1
59809,6
59857,11
59952,22
60019,7
60637,18
60867,39
60931,19
60953,18
61011,60
61090,2
61093,99
61095,40
61103,16
61620,13
61699,9
61753,22
61952,19
61971,119
62130,3
62168,8
62301,10
62528,11
62574,9
62683,20
62769,18
62786,4
63340,9
63345,280
63445,10
63495,16
63636,7
63960,3
64322,5
64341,192
64419,61
64424,8
64900,49
64931,7
65057,21
66055,19
66089,47
66259,4
66550,6
66560,50
66961,21
67802,23
67890,12
67960,2
68252,14
68264,22
68349,64
68415,33
68462,40
68481,16
68677,2
68840,10
68939,14
69103,39
69203,7
69372,268
69636,11
69864,1
70422,32
70557,4
70651,30
70655,20
70672,21
71089,3
71160,1
71395,108
71764,4
71775,33
72046,2
72346,47
73120,133
73539,1
73754,10
73769,7
73793,7
74229,7
74431,32
74479,74
74614,54
75503,43
75552,6
75606,57
75666,5
75693,1
76245,16
76334,4
77383,2
77439,30
78110,23
78633,20
78899,7
79059,9
79065,7
79313,2
79410,35
79438,56
79601,10
79907,10
79916,2
80047,21
80122,28
80490,84
80518,35
80550,21
80816,148
80862,12
81142,1
81421,18
81709,8
81716,25
82195,17
82290,25
82568,5
82674,6
82816,65
82954,4
82969,1
83019,9
83041,27
83214,1
83300,13
83360,20
83369,13
83679,21
83737,11
83910,65
84011,142
84160,13
84492,12
84538,5
84631,1
84684,16
84713,3
84818,37
84884,52
84891,28
85060,15
85132,75
85164,54
85320,5
