user_id,star_count
358,79
397,2218
415,46
441,538
462,91
579,545
638,365
657,4280
698,45
704,22
715,503
755,2604
809,1605
922,17
953,831
1141,143
1214,301
1286,279
1319,86
1352,2355
1443,386
1726,403
1908,38
2160,15
2161,21
2405,157
2479,183
3144,1122
3149,14
3153,136
3420,599
3449,138
3478,2
3634,6
3645,10
3646,464
3775,1
3778,1
4418,2260
4425,1602
4616,173
4751,805
4841,392
4861,5
4990,14
5066,9
5868,98
6096,17
6102,152
6107,1677
6497,156
6592,238
6833,44
7118,10
7473,73
7657,59
7787,15
7815,15
7842,30
7851,24
7978,18
8037,235
8077,116
8099,42
8115,2
8311,819
8829,1580
8869,4
8967,669
9275,5
9362,19
9516,154
9532,4
9980,127
10001,56
10056,21
10139,18
10278,10
10315,52
10347,84
10352,9
10356,92
10360,1
10370,82
10385,6
10401,9
10678,953
10769,178
10957,6
11148,156
11246,21
11438,202
11494,164
11517,24
11735,3
11736,1
11971,120
12013,62
12014,306
12128,11
12307,11
12335,1
12514,4
12589,72
12709,110
12854,223
12862,437
13113,91
13151,605
13309,13
13451,77
13498,66
14166,3
14183,39
14229,608
14490,396
14707,148
14728,7
14759,77
14857,17
14860,173
14863,1061
14864,56
15050,9
15150,90
15299,44
15353,312
15407,154
15490,74
16576,39
16722,70
16889,7
17106,18
17117,35
17476,99
17732,473
17791,175
18185,332
18441,58
18520,616
18731,7
18790,135
19065,145
19207,376
19709,159
19730,9
19733,238
19758,475
19807,590
20242,3053
20540,482
20566,317
20689,15
20741,37
20830,39
20833,24
20843,90
20847,40
20856,1
20879,88
20983,54
20996,26
21052,6
21136,363
21474,146
21652,27
21863,29
21875,116
22453,2341
22501,445
22709,261
23038,4
23173,24
23179,17
23264,17
23389,25
23397,524
23402,809
23455,360
23468,185
23469,22
23484,364
23498,25
23521,89
23525,2299
23571,9
23670,553
23708,5
24760,913
25232,32
25471,271
25533,48
25901,103
26271,4
26277,402
26318,40
26571,8
26673,738
26756,1
26954,1
27356,319
27473,283
27861,187
28163,103
28493,90
28494,115
28574,1
28653,532
28655,613
28673,16
28675,42
29444,648
29572,132
29590,675
29840,317
29895,1180
30363,187
