follower_id,follows
145,198
365,3
517,77
627,11
1032,25
1595,4
1760,76
1867,9
2120,20
2538,4
2752,115
2843,14
2845,21
2960,14
3071,25
3073,46
3087,1
3253,10
3378,8
3723,21
3811,32
3837,5
3954,7
4177,82
4264,20
4663,36
4696,20
4723,14
4726,2
4748,6
4760,28
4782,69
4800,11
4916,1
4942,18
5130,18
5331,16
5344,11
5724,4
6121,7
6198,12
6284,2
6385,24
6861,13
6885,2
7221,18
7244,5
7517,7
7527,71
7551,111
7939,72
8015,4
8018,44
8767,7
8797,3
8961,1391
9127,28
9699,6
9861,3
9899,19
10012,2
10137,2
10334,47
10680,6
10685,7
10821,22
10908,38
11265,4
11332,2
11333,33
11425,4
11542,9
11683,4
12191,54
12194,24
12205,73
12549,44
12685,26
12794,184
12819,3
12850,8
12877,18
12932,23
12993,8
13303,16
13337,3
13487,19
13837,36
14049,4
14050,1
14386,21
14388,43
14465,8
14918,11
15039,63
15214,4
15631,2
15697,829
15885,3
16063,58
16144,2
16204,11
16286,18
16497,33
16744,1
16920,2
17014,1
17063,31
17568,7
17714,2
17865,1
17978,29
18025,6
18069,1
18075,246
18156,77
18207,5
18230,1
18350,2
18407,41
18448,38
18508,1
18515,2
18619,9
18680,7
18701,13
18787,23
18854,38
18862,9
18964,7
19138,8
19148,2
19390,29
19410,18
19490,24
19530,291
19544,4
19565,23
19747,33
19975,8
19977,17
20022,3
20138,16
20178,24
20252,5
20264,23
20280,140
20281,34
20372,4
20434,11
20496,3
20576,2
20694,3
20742,2
20813,3
20821,15
20840,36
21082,5
21130,30
21179,6
21184,3
21318,6
21628,30
21745,2
21879,4
21897,16
22174,33
22284,15
22661,45
23101,9
23193,5
23302,2
23309,2
23330,75
23349,228
23446,7
23658,5
23765,113
23830,1
24184,5
24373,1
24670,3
24789,8
25407,140
25478,9
25544,18
25586,4
25615,9
25635,2
25677,63
25809,2
26289,13
26836,21
27136,6
27294,190
27604,18
27725,39
27726,35
27892,45
27922,4
28049,13
28121,25
28126,26
28241,25
28429,5
28606,3
28619,10
28828,9
29061,3
29265,6
29278,8
29431,122
29538,26
29539,57
29641,11
30067,6
30188,160
30217,4
30859,1
31018,30
31068,2
31070,5
31153,9
31286,3
31464,9
31479,14
31763,14
32061,1
32068,3
32116,4
32163,3
32228,16
32245,20
32331,9
32356,6
32762,24
32781,1
32796,41
33002,28
33174,21
33176,1
33177,3
33184,17
33243,2
33244,2
33287,6
33388,10
33413,15
33637,24
33713,54
33761,9
33813,1
33935,2
34254,1
34496,608
34497,2
34499,14
34678,33
34679,6
34790,23
34923,8
34933,53
35032,38
35247,128
35343,61
35538,9
35559,2
35567,21
35578,15
35586,75
35587,97
35588,16
35591,3
35592,70
35618,1
35626,6
35638,11
35639,24
35641,45
35650,21
35663,12
35666,7
35672,7
35678,99
35723,13
35725,1
35729,2
35746,22
35762,59
35772,9
35784,9
35812,7
35982,1
36146,24
36474,31
36496,37
36600,7
36701,38
36705,44
36899,14
36924,2
36951,3
37051,2
37083,8
37673,5
37873,40
38005,19
38020,5
38089,9
38728,31
39298,21
39530,5
40334,8
40341,27
40357,35
40367,11
40569,1
40582,7
40629,33
40673,29
40833,75
40860,13
40980,16
41080,5
41209,20
41293,122
41564,12
41631,14
41783,31
41892,8
42186,121
42350,35
42351,49
42355,7
42358,6
42360,15
42379,12
42388,38
42425,10
42426,2
42438,67
42446,14
42522,5
42632,16
42970,12
43100,9
43432,9
43477,2
43550,67
43597,1
43674,24
44128,11
44158,10
44183,84
44288,3
44330,5
44535,465
44588,1
44606,2
44681,1
44682,34
44733,15
44801,19
44945,2
45100,49
45145,1
45160,4
45187,2
45270,27
45326,1
45461,16
45487,4
45695,3
45742,558
45808,5
45876,3
45941,16
45976,2
45984,6
45985,2
46100,8
46118,3
46142,13
46196,3
46214,8
46388,6
46589,7
46791,45
46894,11
46939,84
47053,58
47138,38
47392,3
47526,19
47609,34
47615,6
48076,1
48162,47
48243,113
48350,11
48414,25
48443,3
48489,11
48593,67
48636,17
48661,11
49230,3
49390,7
49461,4
49615,4
49667,7
49733,200
49933,2
49963,20
49994,1
50878,23
50919,1
50920,3
50927,5
51367,8
51583,6
52378,2
52418,16
52888,1
52907,1
53150,18
53159,10
53287,11
53566,12
53695,26
54099,16
54178,8
54280,18
54308,12
54419,1
54443,10
54456,6
54457,4
54463,12
54465,9
54510,26
54943,85
54972,7
54998,1
55004,47
55233,14
55239,14
55241,2
55245,288
55388,60
55889,7
56434,6
56476,31
56484,267
59201,1
59334,11
59391,2
59608,3
59729,15
59814,40
60041,32
60116,19
60201,5
60342,2
60361,1
60373,3
60388,57
60604,14
60775,67
60989,3
61225,2
61289,24
61578,1
61713,9
61720,3
61724,6
61738,1
61780,20
61820,1
61922,26
61979,28
62289,20
62304,3
62305,5
62318,6
62351,1
62367,2
62473,7
62662,1
62778,23
62974,18
62982,5
63108,1
63124,6
63367,26
63476,31
63545,13
63648,6
63672,38
63781,52
63881,5
63889,75
63892,5
64237,3
64574,107
65063,21
65107,4
65110,488
65307,24
65345,37
65720,14
66101,1
66178,28
66200,31
66233,14
66419,8
66431,43
66468,148
66517,41
66553,8
66758,11
66777,10
66866,3
67100,4
67122,6
67124,7
67259,5
67286,53
67445,1
67666,163
67818,5
68125,39
68240,15
68867,12
68878,53
68979,3
68982,6
69230,14
69244,16
69246,717
69611,9
69984,24
70345,21
70613,5
70617,186
70647,10
70652,10
70656,2
70668,3
70680,42
70681,5
70691,46
70697,21
70704,1
70767,3
71198,2
71220,40
71428,36
71495,1
71531,1
71535,12
72279,11
72549,2
72808,1
73055,22
73141,6
73340,13
73491,45
73493,19
73495,4
73579,1
73588,82
73624,18
74009,4
74031,19
74075,6
74085,5
74159,18
74404,386
74630,488
74749,16
74905,47
74923,51
75387,43
75432,2
76047,29
76456,28
76530,16
76546,6
76570,13
76670,2
76727,3
76876,2
76927,8
77379,1
77424,9
77938,1
78057,22
78100,24
78304,19
78521,5
78525,29
78593,1
78804,61
79383,2
79416,1
80369,11
80763,36
80909,22
81441,15
81488,3
81492,7
81714,1
82243,24
82276,112
82307,5
82564,2
82609,1
82633,3
82996,6
83149,17
83192,21
83240,15
83463,13
83465,5
83745,45
84405,44
84414,9
84450,2
84741,2
84763,6
84929,6
85136,1
85241,20
85242,35
85422,1
85457,6
85684,14
85827,54
85882,6
86100,15
86186,1
86227,1
86425,2
86462,26
86765,7
86851,9
87078,9
87106,8
87316,26
87483,3
87673,1
87679,26
88113,4
88338,15
88476,2
88512,22
88611,13
89349,5
89707,2
89738,16
89794,5
89861,24
89862,41
89937,11
90239,12
90362,1
90379,45
90383,16
90402,57
91159,34
91297,1
91581,7
91676,1
91679,3
91683,11
92171,7
92546,1
92764,38
92852,40
92898,22
92913,3
93083,6
93247,191
93387,2
93747,2
94282,2
94443,6
94450,1
94976,8
94977,21
95961,2
96159,26
96160,72
96440,23
97075,1
97081,29
97093,9
97274,4
97277,3
97676,12
97701,36
97708,1
97794,5
97924,113
97928,57
97938,46
97945,15
97980,9
98017,4
98045,6
98115,2
98127,42
98130,18
98196,6
98250,5
98381,1
98444,4
98511,12
98527,5
98884,8
99230,3
99378,8
100158,4
100177,31
100265,4
100531,60
100787,448
100917,1
100927,3
101368,21
101770,2
101863,7
101979,6
102215,3
102218,5
102339,1
102548,149
102592,20
102635,2
103047,72
103195,3
103196,6
103285,4
103290,21
103298,17
103307,32
103310,6
103320,3
103343,3
103352,1
103387,22
103403,14
103447,6
103515,12
103685,2
103751,83
104189,45
104237,4
104508,3
104565,1
104763,1
104960,10
105002,5
105052,23
105054,10
105167,1
105171,7
105273,21
105581,20
105737,52
105738,3
106052,15
106191,5
106204,1
106348,6
106373,46
106426,65
106484,12
