owner_id,fork_count
42,13
145,171
365,9
517,24
627,50
1032,1
1047,94
1595,57
1760,38
1867,11
2120,18
2538,41
2752,14
2843,10
2845,19
2960,3
3071,9
3073,24
3087,21
3253,15
3378,10
3723,95
3811,16
3837,39
3954,19
4177,6
4264,16
4517,210
4663,48
4696,20
4697,5
4723,7
4726,3
4748,8
4760,22
4782,31
4800,23
4915,78
4916,10
4942,55
5117,19
5130,38
5286,9
5331,77
5344,5
5724,29
6121,5
6198,5
6284,29
6385,37
6587,21
6861,26
6885,8
6913,11
7161,2
7221,13
7244,48
7291,10
7517,10
7527,44
7939,3
8015,7
8018,11
8366,6
8645,110
8767,14
8797,48
8961,38
9127,11
9270,17
9309,3
9699,47
9861,44
9899,52
10012,16
10034,4
10137,4
10334,219
10430,7
10680,20
10685,40
10692,2
10821,30
10908,25
11265,6
11332,27
11333,17
11425,18
11477,10
11542,2
11683,12
12191,108
12194,37
12205,73
12263,22
12549,14
12685,3
12794,2
12819,5
12850,50
12877,9
12932,72
12993,36
13278,19
13303,37
13337,9
13487,12
13797,4
13837,23
13877,9
14049,3
14050,33
14386,23
14388,26
14465,26
14750,33
14918,40
14934,1
15039,36
15214,8
15419,3
15442,3
15631,19
15697,155
15885,24
16063,64
16113,7
16144,11
16204,3
16286,40
16421,37
16497,9
16920,5
17014,2
17063,34
17189,6
17568,79
17666,26
17714,15
17865,64
17978,12
18025,9
18069,19
18075,103
18156,43
18350,16
18407,44
18448,216
18508,59
18515,11
18619,13
18680,3
18701,35
18787,51
18854,32
18862,3
18964,38
19048,2
19122,5
19138,96
19148,152
19390,9
19410,35
19490,36
19530,65
19544,8
19565,34
19747,32
19975,4
19977,17
20022,19
20138,7
20178,45
20252,2
20264,99
20279,2
20280,43
20281,27
20372,13
20434,52
20496,50
20576,5
20694,17
20742,78
20813,9
20821,32
20840,32
21082,24
21130,18
21179,1
21184,10
21318,21
21546,9
21628,49
21745,12
21879,11
21897,26
22174,33
22284,119
22661,27
23101,11
23129,1
23133,7
23184,43
23193,4
23302,14
23309,23
23330,28
23349,44
23446,37
23658,7
23669,2
23765,129
23830,8
24184,10
24373,6
24670,13
24764,23
24789,47
25152,12
25407,87
25478,4
25544,11
25586,19
25615,30
25635,82
25677,15
25809,9
26289,73
26836,82
27136,20
27254,17
27294,13
27604,6
27725,6
27726,111
27892,116
27922,17
28049,28
28119,3
28121,50
28126,15
28241,24
28429,87
28606,8
28619,25
28656,2
28828,23
29061,3
29265,59
29278,20
29431,36
29538,53
29539,25
29641,32
30067,19
30188,50
30217,50
30859,6
31018,11
31068,8
31070,9
31153,15
31286,24
31359,3
31464,3
31479,14
31558,11
31763,17
31892,1
32061,2
32068,10
32084,1
32116,24
32163,14
32228,4
32245,4
32296,17
32331,10
32356,42
32439,13
32442,5
32762,24
32781,70
32796,81
33002,28
33174,17
33176,41
33177,3
33184,1
33243,4
33244,18
33287,34
33388,21
33413,31
33637,33
33713,34
33761,13
33813,7
33935,18
34254,29
34496,30
34497,7
34499,26
34678,8
34790,44
34923,19
34933,24
35032,79
35217,22
35247,66
35343,31
35440,8
35538,12
35559,13
35567,13
35578,73
35586,459
35587,68
35588,12
35591,7
35592,47
35618,2
35626,23
35638,34
35639,13
35641,27
35650,8
35663,3
35666,4
35672,3
35678,21
35723,46
35725,5
35729,4
35746,81
35762,35
35772,18
35784,16
35812,13
35982,4
36146,26
36474,4
36496,25
36600,8
36701,52
36705,48
36899,6
36924,10
36951,17
36998,4
37051,11
37083,4
37673,15
37873,34
37986,2
38005,24
38089,11
38728,39
39030,73
39233,51
39298,5
39811,2
39994,9
40341,21
40357,19
40367,10
40424,5
40569,1
40582,4
40629,88
40673,18
40833,11
40860,1
40980,67
41080,25
41209,42
41293,51
41564,11
41631,24
41783,89
41887,108
41892,24
41898,1
42186,13
42350,46
42351,104
42355,22
42358,40
42360,59
42379,29
42388,19
42393,1
42425,24
42426,20
42438,14
42446,32
42522,45
42632,15
42970,37
43100,21
43432,109
43477,18
43550,13
43597,11
43617,10
43674,9
43991,4
44128,27
44158,18
44183,48
44288,2
44330,10
44535,173
44588,16
44606,7
44681,5
44682,4
44733,15
44739,2
44759,5
44801,43
44805,8
44945,5
45002,32
45100,46
45145,5
45160,37
45187,29
45270,19
45326,4
45461,69
45487,3
45695,18
45742,32
45808,7
45876,15
45941,111
45976,8
45984,12
45985,8
46100,9
46142,2
46196,2
46214,28
46388,7
46589,22
46598,51
46670,5
46791,45
46894,77
46939,11
47053,26
47138,29
47311,17
47526,18
47609,22
47615,14
47630,23
48076,46
48162,8
48243,1
48350,27
48414,26
