user_id,star_count
42,2
145,1506
365,60
517,46
627,190
1032,140
1047,42
1595,44
1760,629
1867,10
2120,4
2538,69
2752,548
2843,245
2845,65
2960,385
2961,2
3071,106
3073,457
3087,1130
3253,100
3378,126
3723,183
3811,104
3837,35
3954,11
4177,971
4264,1455
4517,2003
4663,616
4696,485
4697,21
4723,31
4726,166
4748,83
4760,82
4782,190
4800,451
4808,35
4915,85
4916,33
4942,435
5117,42
5130,255
5286,8
5331,53
5344,59
5724,36
6121,73
6198,258
6284,384
6385,951
6587,2
6861,340
6885,18
6913,52
7161,4
7221,210
7244,124
7291,2
7517,45
7527,222
7551,76
7939,362
8015,87
8018,4330
8366,1
8645,926
8767,4
8797,36
8961,988
9127,162
9270,3
9309,15
9699,151
9861,28
9899,314
10012,5
10034,5
10137,14
10334,252
10430,8
10680,68
10685,87
10692,13
10770,2
10821,299
10908,519
11054,1
11265,9
11332,244
11333,406
11425,265
11477,29
11542,622
11683,77
12191,188
12194,135
12205,510
12263,31
12549,166
12685,106
12794,270
12819,15
12850,56
12877,108
12932,533
12993,69
13278,287
13303,325
13337,102
13487,399
13797,3
13837,270
13877,4
14049,20
14050,99
14386,37
14388,182
14465,48
14750,878
14918,64
14934,1
15039,263
15214,24
15442,3
15631,32
15697,6783
15885,130
16063,8
16113,6
16144,220
16204,356
16286,128
16421,333
16497,62
16744,4
16920,13
17014,12
17063,683
17189,6
17568,11
17666,50
17714,24
17865,103
17978,474
18025,80
18069,222
18075,1041
18156,203
18207,92
18230,66
18350,143
18407,994
18448,757
18508,201
18515,195
18619,293
18680,39
18701,169
18787,78
18854,528
18862,104
18964,226
19048,7
19122,3
19138,44
19148,93
19390,461
19410,157
19490,133
19530,469
19544,31
19565,749
19747,1897
19975,134
19977,245
20022,1547
20138,24
20178,295
20252,64
20264,141
20279,3
20280,1235
20281,1992
20372,126
20434,177
20496,65
20576,230
20694,255
20742,409
20813,15
20821,276
20840,219
21082,29
21130,125
21179,118
21184,273
21318,26
21546,15
21628,401
21745,385
21879,20
21897,19
22174,326
22284,661
22661,166
23101,11
23133,8
23153,2
23184,6
23193,6
23302,41
23309,148
23330,963
23349,2521
23446,37
23658,27
23669,1
23765,242
23830,30
24184,8
24373,6
24670,10
24764,178
24789,80
25152,5
25407,948
25478,11
25544,172
25586,73
25615,25
25635,104
25677,680
25809,1
26289,138
26836,152
27136,61
27254,7
27294,850
27604,187
27725,363
27726,1049
27892,215
27922,1
28049,77
28119,3
28121,509
28126,43
28241,189
28429,67
28606,155
28619,68
28656,31
28828,8
29061,78
29265,31
29278,6
29431,920
29538,287
29539,1052
29641,209
30067,44
30188,1415
30217,247
30859,8
31018,95
31068,14
31070,46
31073,4
31153,5
31286,89
31359,1
31464,59
31479,310
31558,21
31763,427
31892,4
32061,16
32068,17
32116,84
32163,14
32228,119
32245,32
32296,37
32331,75
32356,53
32439,2
32442,2
32762,125
32781,114
32796,83
33002,169
33174,493
33176,306
33177,21
33184,4
33243,71
33244,917
33287,95
33388,13
33413,408
33637,158
33713,218
33761,28
33813,79
33935,304
34254,16
34496,874
34497,15
34499,16
34678,121
34679,72
34790,70
34923,7
34933,530
35032,119
35247,1061
35343,15
35440,19
35538,117
35559,26
35567,172
35578,564
35586,806
35587,300
35588,1287
35591,11
35592,457
35618,4
35626,65
35638,82
35639,557
35641,150
35650,223
35663,120
35666,7
35672,55
35678,197
35723,354
35725,8
35729,6
35746,695
35762,673
35772,193
35784,151
35812,460
35982,6
36146,350
36474,271
36496,101
36600,135
36701,1057
36705,1113
36899,20
36924,1351
36951,97
36998,7
37051,94
37083,7
37673,86
37873,911
37986,3
38005,23
38020,4
38089,93
38728,1092
39233,41
39298,542
39530,882
39811,4
39994,2
40334,63
40341,35
40357,19
40367,44
40424,3
40569,14
40582,63
40629,15
40673,427
40833,101
40860,23
40980,192
41080,124
41209,756
41293,2214
41564,28
41631,48
41783,602
41887,5
41892,133
41898,1
42186,1623
42350,967
42351,2911
42355,65
42358,505
42360,424
42379,100
42388,128
42393,5
42425,472
42426,53
42438,751
42446,278
42522,178
42547,6
42632,507
42970,74
43100,777
43432,71
43477,48
43550,152
43597,43
43617,27
43674,10
43991,3
44128,126
44158,79
44183,104
44288,43
44330,8
44535,196
44588,249
44606,48
44681,20
44682,527
44733,119
44739,2
44759,22
44801,352
44805,9
44945,209
45002,328
45100,228
45145,4
45160,47
45187,13
45270,298
