follower_id,follows
14,15
19,51
66,3
78,73
79,2
80,49
81,8
88,6
92,6
93,5
109,127
112,14
129,22
138,59
147,16
166,1
168,8
189,59
197,4
199,7
203,26
208,21
210,4
214,56
215,408
217,46
229,1
230,219
234,7
238,43
244,24
245,163
249,10
259,240
273,23
303,2253
304,385
310,26
313,3
314,77
316,33
317,66
325,30
333,155
337,38
342,216
344,30
345,83
350,50
352,37
366,204
370,19
373,35
374,10
376,189
383,22
400,1
401,19
402,37
408,18
409,3
412,14
413,118
416,17
418,120
421,113
422,41
435,100
443,6
450,972
455,32
457,406
459,49
461,29
470,217
476,14
479,29
481,31
484,32
486,6
491,487
497,1
502,20
510,10
512,25
514,54
521,4
527,60
534,172
535,19
537,84
540,787
544,7
556,121
560,233
563,15
567,9
568,70
576,39
580,26
582,14
586,29
587,15
588,371
589,7
597,54
598,102
601,37
607,5
614,10
617,42
624,9
633,76
642,105
643,34
662,32
665,17
671,14
676,32
681,28
684,39
696,5
700,10
703,37
706,17
707,46
709,55
717,770
723,6
732,7
733,80
740,110
744,170
752,17
754,7
759,9
765,37
768,26
769,62
773,23
775,265
777,152
778,20
788,85
789,6
790,27
791,4
792,87
794,51
800,1
801,1
802,48
807,28
817,35
821,8
823,153
825,14
826,7
828,77
832,6
836,74
837,5
840,148
841,51
847,439
850,4
863,31
869,1
872,16
884,3
886,13
896,24
902,14
904,29
905,11
912,39
923,22
926,66
935,41
936,59
948,18
950,1
964,29
965,30
967,8
979,4
986,1
994,8
995,12
998,259
999,25
1001,553
1004,7
1005,1
1006,3
1007,50
1008,52
1019,15
1030,24
1031,165
1034,50
1036,14
1039,64
1043,13
1046,19
1048,7
1050,30
1053,195
1062,10
1063,109
1065,8
1068,13
1075,34
1076,2
1078,2
1079,18
1081,14
1082,22
1087,6
1095,11
1096,348
1103,1
1105,9
1109,63
1110,2
1111,4
1112,4
1113,340
1115,35
1117,1
1118,24
1120,22
1131,2
1143,6
1145,15
1167,2
1170,14
1196,2
1213,7
1217,4
1218,22
1221,16
1235,5
1237,22
1238,33
1239,27
1246,566
1247,12
1249,176
1250,1
1251,37
1252,3
1257,7
1259,45
1262,1250
1268,65
1275,50
1276,16
1277,5
1280,7
1284,64
1285,22
1288,27
1295,40
1314,33
1316,4
1320,327
1325,51
1326,65
1327,58
1329,22
1336,17
1341,15
1343,26
1344,11
1345,168
1348,2
1357,23
1359,27
1367,57
1369,1
1371,23
1372,18
1374,2
1384,11
1387,449
1390,188
1392,123
1418,1
1422,1
1424,145
1426,24
1432,8
1433,40
1434,6
1435,15
1436,12
1439,20
1442,57
1445,11
1446,49
1452,7
1463,83
1466,3
1470,5
1471,301
1473,29
1474,42
1475,32
1477,61
1481,29
1482,4
1485,9
1487,37
1489,3
1491,85
1497,11
1498,6
1504,1
1505,18
1508,20
1534,60
1539,61
1544,44
1547,4
1558,13
1559,22
1563,18
1564,110
1565,94
1568,140
1569,97
1570,234
1575,1
1577,24
1578,7
1586,5
1591,139
1593,21
1598,65
1601,28
1604,23
1607,3
1613,6
1620,6
1630,12
1633,99
1636,19
1647,58
1694,23
1695,12
1703,69
1706,98
1713,30
1718,2
1719,23
1738,21
1739,87
1740,16
1745,19
1749,225
1750,24
1751,33
1778,1
1779,264
1781,20
1804,9
1818,94
1879,21
1880,24
1901,12
1902,50
1905,87
1907,1
1909,39
1910,18
1919,32
1925,51
1929,46
1931,3
1940,20
1942,33
1955,39
1969,15
1989,5
1996,22
2017,1
2042,13
2045,16
2049,17
2051,13
2059,13
2063,1
2067,16
2068,16
2069,70
2077,3
2078,6
