user_id,star_count
14,80
19,66
78,5
92,7
109,1
112,1
129,3
138,7
166,2
168,3
189,1
203,5
208,7
215,1
234,66
238,2
244,1
245,291
249,22
259,25
303,12
304,5
310,5
314,1
325,1
333,7
342,17
344,6
345,21
352,4
366,43
373,3
374,7
376,38
383,3
400,99
402,6
408,182
409,5
413,59
416,1
418,13
421,325
422,5
443,17
450,49
457,34
459,2
461,156
470,38
476,31
479,13
481,1
484,25
486,2
491,48
497,1
510,29
512,43
527,30
534,71
537,2
539,7
540,76
544,1
560,56
568,11
576,4
580,2
586,24
587,1
588,3
597,289
598,10
601,97
607,4
617,2
642,111
643,6
662,2
665,2
671,51
684,3
695,4
701,11
703,6
706,1
707,3
709,5
717,93
723,9
733,10
740,10
750,109
752,3
759,1
765,7
768,9
769,36
773,22
775,28
777,7
789,6
792,7
794,7
802,2
817,1
821,2
823,27
826,3
832,4
836,12
837,3
840,3
841,43
847,120
850,1
863,25
869,2
872,5
896,4
907,4
912,5
923,123
926,1
935,2
936,87
948,1
964,3
965,1
967,2
998,6
1001,67
1004,2
1008,67
1019,2
1030,3
1031,189
1036,9
1046,3
1050,26
1053,94
1065,1
1068,5
1071,1
1075,4
1081,1
1082,15
1095,29
1096,35
1103,10
1110,1
1111,1
1113,2
1117,4
1118,1
1120,1
1131,15
1145,6
1170,1
1213,37
1217,2
1218,6
1221,2
1238,6
1239,5
1246,15
1247,16
1251,3
1259,21
1262,262
1268,35
1276,1
1277,1
1295,5
1314,57
1316,1
1320,22
1325,3
1326,47
1327,17
1329,3
1336,118
1341,6
1344,2
1345,4
1367,1
1369,2
1371,16
1372,7
1387,1
1390,12
1392,176
1422,6
1424,68
1426,2
1432,86
1433,21
1435,1
1439,43
1442,18
1445,4
1446,100
1452,6
1466,18
1471,12
1473,1
1474,1
1475,6
1477,270
1481,21
1485,14
1487,31
1491,100
1505,43
1508,3
1534,26
1539,2
1544,3
1547,1
1559,3
1563,4
1565,110
1575,1
1591,6
1593,2
1598,20
1601,25
1604,6
1607,2
1620,1
1636,1
1694,8
1695,21
1703,27
1706,1
1713,2
1738,101
1740,1
