user_id,star_count
14,298
18,5
19,1485
27,14
36,5
64,4
65,14
66,109
69,36
78,107
79,83
80,348
81,8
88,20
92,103
93,43
109,175
112,32
129,74
138,160
142,19
147,155
163,3
166,166
168,329
189,94
197,49
199,8
203,69
208,689
210,4
214,66
215,988
217,90
229,96
230,19
234,485
238,65
244,190
245,4109
249,345
259,498
272,6
273,81
303,597
304,897
310,376
313,47
314,256
316,183
317,312
325,140
333,206
337,107
342,685
344,76
345,629
350,232
352,281
366,1226
370,4
373,1034
374,205
376,1021
383,228
400,767
401,42
402,273
408,1124
409,219
412,252
413,949
416,42
418,306
421,2703
422,199
435,120
443,551
450,865
455,72
457,1701
459,199
461,1219
470,1295
476,491
479,189
481,39
484,261
486,149
491,3768
497,142
502,102
510,217
512,391
514,78
521,32
527,331
534,998
535,45
537,532
539,445
540,4065
544,162
556,205
560,1556
563,8
567,17
568,417
576,115
580,71
582,42
586,301
587,30
588,599
589,116
597,2004
598,339
601,1619
607,172
609,4
614,29
617,193
624,61
633,75
642,2967
643,726
662,224
665,40
671,787
676,841
681,17
684,185
695,192
696,29
700,23
701,20
703,559
706,141
707,29
709,482
717,2726
723,180
729,2
732,10
733,1010
740,703
744,91
750,464
752,222
754,8
759,67
765,407
768,145
769,769
773,1021
775,1837
777,571
778,49
779,22
788,1610
789,191
790,95
791,201
792,129
794,203
800,3
801,98
802,82
807,136
817,87
821,128
823,565
825,263
826,351
828,372
832,210
836,109
837,128
840,302
841,943
847,2048
850,83
863,247
869,337
872,109
884,14
886,11
896,287
902,113
904,126
905,3
907,124
912,501
923,1415
926,90
935,157
936,528
948,81
950,53
964,113
965,8
967,13
979,20
986,18
994,16
995,68
998,596
999,52
1001,886
1004,83
1005,13
1006,6
1007,119
1008,855
1019,74
1030,225
1031,1948
1034,58
1036,256
1039,22
1043,34
1046,65
1048,10
1050,1214
1053,818
1062,111
1063,276
1065,9
1068,96
1071,14
1075,156
1076,1
1078,5
1079,18
1081,149
1082,86
1087,25
1095,202
1096,631
1103,50
1105,26
1109,157
1110,4
1111,2
1112,5
1113,416
1115,57
1117,47
1118,54
1120,37
1131,157
1132,15
1143,53
1145,135
1146,137
1167,4
1170,109
1177,40
1187,5
1213,473
1217,43
1218,52
1219,1
1221,29
1232,1
1235,7
1237,12
1238,294
1239,28
1246,3173
1247,298
1249,402
1251,65
1252,38
1257,42
1259,688
1262,6560
1268,260
1274,16
1275,303
1276,33
1277,58
1284,160
1285,20
1288,79
1295,91
1297,2
1306,1
1314,2542
1316,53
1320,898
1325,1158
1326,1254
1327,1522
1329,202
1336,1515
1341,60
1343,148
1344,13
1345,134
1348,2
1350,16
1357,359
1359,110
1367,306
1369,11
1371,719
1372,80
1374,22
1384,54
1387,203
1390,679
1392,719
1418,10
1422,112
1424,2004
1426,33
1432,828
1433,374
1434,4
1435,75
1436,263
1439,1244
1442,560
1445,66
1446,1837
1452,433
1463,141
1466,258
1470,81
1471,557
1473,56
1474,398
1475,121
1477,5760
1481,671
1482,84
1485,411
1486,20
1487,280
1489,36
1491,2051
1497,91
1498,45
1504,11
1505,270
1508,81
1517,2
1534,374
1539,135
1541,4
1544,269
1547,8
1558,36
1559,204
1563,162
1564,125
1565,1021
1568,207
1569,137
1570,139
1575,29
1577,51
1578,18
1580,13
1586,26
1591,60
1593,68
1598,634
1600,8
1601,363
1604,285
1607,43
1613,1
1620,80
1630,23
1633,331
1636,75
1647,57
1679,3
1694,184
1695,138
1703,540
1706,65
1713,25
1718,197
1719,1035
1730,1
1738,4110
1739,601
1740,64
1745,72
1749,121
1750,213
1751,105
1778,19
1779,501
1781,207
1782,9
1804,209
1818,163
1879,158
