user_id,star_count
30,0
33,4
43,1
54,2
55,0
56,2
57,94
60,0
63,0
144,11
268,0
307,233
541,2
652,7
737,0
871,1242
1093,11
1200,33
1231,14
1332,51
1360,0
1407,3
1409,74
1410,36
1412,36
1413,24
1415,0
1451,0
1455,18
1535,14
1762,4
1977,142
1992,160
2066,14
2158,61
2284,35
2302,336
2326,1
2333,24
2343,82
2372,65
2404,6
2441,138
2442,66
2446,1
2451,75
2455,1
2458,2
2474,255
2481,7
2482,0
2493,1
2496,3
2510,17
2600,27
2699,1
2703,0
2707,1
2747,0
2781,9
2885,28
2888,3
2940,2
2971,0
2996,177
3005,342
3047,0
3165,0
3172,4
3220,19
3232,5
3246,18
3252,115
3257,60
3264,26
3265,6
3275,0
3279,10
3280,5
3319,0
3324,192
3329,100
3330,0
3334,168
3339,11
3340,3
3393,52
3396,0
3404,210
3408,146
3463,0
3464,18
3472,3
3492,258
3502,29
3508,0
3516,10
3520,12
3596,10
3609,69
3613,56
3616,210
3623,39
3627,3
3635,544
3650,38
3671,1
3676,142
3678,3
3692,340
3759,0
4199,19
4214,3
4297,22
4366,14
4386,0
4445,68
4460,0
4537,43
4541,11
4543,16
4557,20
4563,10
4564,0
4571,3
4650,9
4677,2
4735,327
4772,17
4779,8
4793,50
4904,0
4921,3
5016,41
5094,4
5230,41
5524,0
5577,107
5638,72
5671,67
5888,11
5893,0
5918,36
6061,45
6071,0
6089,0
6095,6
6104,34
6127,5
6164,12
6167,9
6211,47
6249,11
6251,72
6254,67
6271,82
6468,13
6471,70
6553,8
6658,0
6856,0
6929,404
7069,316
7117,85
7140,5
7199,2
7344,5
7530,57
7536,9
7553,0
7647,11
7682,0
7691,8
7750,0
7804,20
7837,92
7867,0
7916,3
7918,5
7937,5
7982,90
7999,22
8021,22
8025,0
8034,64
8039,6
8045,4
8114,6
8125,157
8239,8
8295,88
8310,0
8312,12
8320,3
8367,3
8368,2
8398,19
8503,32
8521,0
8527,5
8534,9
8535,23
8590,4
8861,0
8875,9
8936,3
8944,0
9022,6
9067,5
9081,1
9095,40
9258,9
9284,6
9316,17
9325,0
9381,91
9387,86
9592,0
9718,145
9756,2
9802,49
9843,5
9867,7
9883,0
9884,59
9896,21
9928,6
10141,1
10167,3
10322,5
10411,12
10559,4
10762,5
10855,0
10958,27
10993,3
11036,13
11233,9
11255,64
11258,14
11270,33
11405,32
11498,46
11579,295
11582,24
11593,16
11603,3
11655,0
11657,34
11959,11
11961,28
11975,181
11988,4
12052,21
12078,0
12096,92
12117,34
12118,5
12120,20
12122,0
12213,8
12359,2
12369,6
12377,28
12486,82
12523,2
12563,1
12633,0
12732,107
12764,5
12767,95
12826,315
12829,0
12836,119
12856,7
12864,0
12916,0
12931,1629
13100,17
13131,93
13136,3
13156,571
13170,9
13179,0
13206,26
13208,7
13374,15
13422,57
13429,2
13511,17
13544,0
13699,15
13713,0
13827,0
13833,12
13847,12
13950,0
14017,36
14138,0
14177,0
14180,7
14285,1
14298,5
14309,47
14310,0
14374,1
14395,466
14467,28
14615,3
14646,0
14651,17
14668,9
14676,3
14682,1
14688,0
14705,17
14745,60
14788,0
14812,3
14830,16
14839,2
14848,113
14873,0
14920,77
15090,27
15210,0
15243,124
15255,0
15310,33
15446,4
15465,18
15466,40
15661,85
15808,0
15898,0
16067,10
16182,1
16188,0
16197,9
16200,1
16207,2
16223,29
16258,1
16362,2
16381,86
16441,2
16475,10
16500,31
16559,0
16567,5
16713,0
16714,14
16771,29
16824,0
16830,68
16860,1
16914,22
16937,53
17087,104
17213,6
17372,31
17373,28
17569,0
17596,21
17658,0
17825,161
17833,76
17840,83
17920,61
18124,129
18160,104
18203,6
18235,0
18270,4
18313,58
18317,2
18385,596
18388,3
18420,0
18422,0
18430,0
18455,15
18461,9
18467,15
18497,4
18503,18
18509,32
18513,27
18521,22
18571,7
18584,497
18586,0
18612,9
18618,0
18720,29
18748,3
18762,0
18765,0
18785,14
18788,2
18807,6
18858,17
18888,18
18906,1
18913,16
18958,1
18959,0
18962,5
18982,0
18986,28
18999,37
19003,17
19030,5
19044,3
19058,8
19061,35
19076,1
19080,13
19081,7
19129,8
19190,1
19257,2
19296,13
19316,39
19317,5
19349,54
19384,47
19408,0
19435,300
19487,14
19511,140
19592,49
19599,10
19631,3
19632,23
19759,0
19803,194
19890,10
19916,57
20004,26
20021,2
20089,4
20095,0
20213,0
20292,4
20293,12
20296,74
20297,251
20298,11
20311,24
20316,43
20318,19
20325,1
20329,101
20332,63
20333,16
20335,37
20338,1
20340,155
20341,7
20343,43
20346,57
20347,41
20352,0
