user_id,fork_count
30,2
33,11
43,1
63,1
144,16
871,5
1093,5
1332,2
1412,19
1413,4
1977,10
1992,10
2158,1
2284,56
2343,1
2372,8
2404,244
2441,110
2451,1
2455,54
2600,2
2885,10
2940,12
2996,1
3005,8
3165,2
3172,9
3252,85
3257,4
3264,1
3324,2
3339,134
3404,6
3463,1
3492,2
3516,3
3596,7
3609,12
3613,4
3616,2
3623,11
3671,1
3676,3
3678,8
4199,5
4214,51
4460,1
4541,6
4677,1
4735,6
4793,1
4904,2
5094,464
5638,1
6089,94
6095,1
6104,1
6127,20
6164,9
6167,1
6211,2
6249,18
6251,31
6468,9
7069,9
7117,14
7140,105
7199,1
7344,2
7530,4
7536,6
7691,1
7750,4
7837,12
7916,1
8039,1
8239,13
8295,3
8310,1
8312,1
8320,2475
8367,16
8527,25
8590,1
8875,14
8944,3
9022,2
9081,1
9284,12
9316,1
9325,10
9381,2
9387,29
9718,10
9843,7
9867,3
9883,43
10141,1
10322,1
10993,2
11255,2
11258,2
11405,1
11961,1
11975,40
11988,1
12096,9
12117,8
12118,1
12213,2
12359,110
12377,17
12486,4
12563,1
12732,1
12764,18
12767,1
12826,82
12829,1
12836,1
13156,2
13208,13
13511,87
13544,28
13699,2
13827,9
13833,1
13950,1
14017,1
14177,89
14180,1
14285,2
14298,1
14374,7
14395,8
14467,1
14646,1969
14651,1
14668,41
14682,17
14812,1
14830,2
14920,1
15090,7
15210,62
15255,1
15466,12
15661,1
16200,1
16223,32
16258,1
16362,2
16381,7
16441,4
16500,5
16567,5
16830,1
16914,4
16937,4
17372,5
17825,5
17840,60
17920,21
18203,1
18313,6
18385,29
18388,19
18422,16
18461,3
18513,1
18521,5
18571,3
18618,1
18720,21
18962,2
18982,1
18986,15
18999,1
19003,1
19030,2
19044,5
19058,8
19061,21
19076,286
19129,1
19257,1
19296,1
19316,670
19317,74
19384,1
19435,5
19631,25
19632,24
19803,2
19890,1
19916,2
20021,1
20296,4
20297,1
20298,1
20311,338
20316,34
20333,1
20335,538
20341,1
20346,10
20352,1
20507,10
20621,174
20751,14
20799,1
21021,49
21345,6
21346,3
21398,10
21399,5
21441,2
21452,14
21730,1
21789,37
21890,1
21950,74
21981,4
22687,1
22878,1
22946,2
22982,2
23050,9
23058,2
23161,21
23234,11
23252,2
23410,47
23421,5
23506,10
23580,17
23632,2
23790,7
25179,11
25366,17
25447,18
25569,8
25706,18
25747,4
25748,1
25947,41
25962,25
26078,332
26095,2
26164,1
26221,4
26244,1
26466,12
26478,10
26610,1
26766,1
26900,7
27369,2
27389,15
27579,28
27614,2
27661,1
27721,1
28033,3
28129,1
28131,38
28198,2
28199,4
28504,2
28538,475
28699,43
28823,3
28892,3
28943,10
29001,1
29161,77
29653,2
29688,9
29815,1
29851,24
29932,1
30332,1
30789,2
30810,1
30814,9
30929,1
31158,2
31448,5
31593,2
32057,2
32688,9
32725,16
32909,2
33000,3
33159,1
33286,48
33721,2
34318,1
34792,23
34892,87
35041,28
35121,3
35387,2
35501,1
35674,1
35898,5
35910,2
36428,7
36625,5
36805,3
36811,4
36838,57
36846,3
36956,10
37330,1
37383,5
37413,3
37415,174
37650,1
37654,2
38398,16
38414,1
38502,1
38613,51
38631,2
38703,1
38723,42
38729,12
38738,6
38764,4
38783,124
39541,3
39551,259
39593,50
39676,38
39703,8
40005,14
40022,3
40474,2
40485,3
40565,11
40586,1
40620,4
40659,2
40787,1
40818,1
40824,4
40846,1
40894,1
40900,13
41091,1
41285,4
41433,4
41591,111
41669,1
41776,1
41800,18
41803,2
41853,7
41928,38
41949,2
41955,3
41987,2
42030,51
42093,7
42480,2
42593,3
42678,187
42871,1
43088,12
43116,4
43158,1
43216,11
43218,23
43255,2
43326,6
43528,1
43814,3504
44111,31
44231,3
44488,1
44551,1
44646,2
44692,4
44897,5
44905,496
45230,1
45297,1
45456,1
45496,8
45783,1
45864,5
46059,2
46085,1
46151,18
46575,2
46687,81
46688,1
46774,5
46782,1
46846,1
46926,4
47091,20
47191,1
47414,20
47741,1
47765,136
47938,4
48003,4
48151,1
48201,1
48311,1
48372,2
48404,2
48572,1
48642,1
48737,2
48763,12
48838,2
49000,3
49032,4
49235,9
49271,2
49352,13
49380,1
49393,132
49491,1
49543,48
49688,1
50012,1
50236,1
50401,14
50522,10
50632,5
50843,1
50988,270
51049,6
51291,1
51429,1
51435,2
51663,8
51739,3
51744,5
52130,4
52349,126
52375,1
52467,1
52554,1
52731,15
52741,1
53152,1
53181,2
53361,15
53524,1
53583,46
53943,71
53971,3
53980,66
54095,1
54191,7
54197,99
54257,5
54855,1
54905,4
54924,11
54925,1
55024,1
55041,6
55187,355
55283,16
55532,4
55635,3
56128,6
56161,18
56281,19279
56446,3
56932,1
56960,2
57592,2
58212,17
58214,1
59156,5
59241,2
59259,4
59276,1
59679,5
60047,1
60300,2
60602,1
60628,81
61450,2
61544,5
61676,2
61751,14
61982,9
62021,3
62077,1
62078,2
62249,1
62354,1
62365,6
62378,1
62789,1
62850,1
62904,10
63012,1
63162,3
63575,2
63783,30
63786,18
63788,7
63868,12
63936,11
63944,14
64212,1
64231,2
64457,1
64642,1
64661,4
64801,681
64973,1
65118,1
65119,7
65204,2
65251,661
65413,1
66216,4
66234,1
66546,9
66572,3
66588,2
66604,1
66642,3
66996,1
67196,1
67506,1
67535,1
67568,11
67924,10
68129,10
68261,1
68959,1
69406,3
69430,2
70191,2
70488,2
70491,3
70769,10
71131,3
71486,461
71800,3
71896,1
71988,5
72029,1
72539,1
72902,1
73319,13
73325,35
73397,1
73542,1
73553,1
73555,9
74303,1
74436,3
74793,147
75119,3
75512,161
75562,4
75803,1
76041,19
76128,12
76137,5
76522,1
76633,1
76775,9
77183,14
77668,301
77783,1
77883,44
78042,5
78088,1
79000,21
79026,3
79115,60
79155,1
79168,1
79270,1
79274,1
79291,3
79296,1
79321,3
79681,2
79733,1
79778,4
80432,1
80463,4
80850,2
81976,2
82488,1
82588,1
82611,6
82638,1
82678,1
82867,5
83106,5
83166,3
83957,14
84022,3
84052,1
84337,9
84352,1
84394,1
85015,1
85182,6
86586,3
86599,6
87001,1
87099,1
87313,2
87573,27
87639,1
87760,74
87870,42
88169,3
88344,3
88468,30
88938,1
90271,1
90292,6
90781,3
90803,2
90928,5
91089,2
91225,11
91545,180
92106,87
92131,15
92228,1
92232,7
92314,8
92411,1
92527,3
92571,2
92589,89
92618,3
92619,3
92624,13
92754,4
93019,18
93104,1
93253,72
93278,3
93501,3
93525,6
93654,1
93800,1
93929,14
94031,1
94051,2
94068,2
94176,2
94224,4
94334,2
94341,4
94346,18
94363,86
94463,1
94644,1
94664,3
94698,1
94924,1
94997,1
95011,1
95028,4
95030,14
95044,1
95065,102
95110,4
95111,1
95168,61
95321,165
95397,9
95410,2
95446,126
95490,1
95622,1
95648,3
95705,2
95793,7
95818,1
95839,1
95936,2
95993,1
96010,2
96086,1
96175,3
96215,2
96233,3
96234,8
96260,4
96283,1
96453,1
96518,2
96573,1
96708,17
96863,40
96881,1
97029,4
97082,2
97104,15
97106,9
97199,3
97403,1
97415,47
97514,8
97601,1
97654,6
97691,1
97696,9
97732,3
97748,38
97760,5
97776,23
97778,31
97787,1
97804,1
97819,92
97892,141
97944,1
98227,51
98271,2
98392,1
98395,12
98416,12
98485,1
98587,1
98630,1
98634,411
98642,1
98728,1
99194,2
99299,1
99310,1
99341,2
99362,2
99563,20
99595,1
99633,3
99637,3
99789,1
99806,4
99848,22
99911,4
100132,1409
100227,1
100255,1
100314,1
100326,1
100346,2
100365,110
100856,1
100921,26
100925,1
100990,11
101026,1
101075,2
101076,1
101083,1
101092,11
101216,2
101375,2
101467,3
101720,3
101790,40
101900,6
102036,1
102155,1
102178,8
102263,1
102363,31
102411,1
102574,1
102973,3
103025,1
103089,6
103116,4
103131,240
103329,7
103735,9
103809,7
103823,4
103882,1
103939,4
104370,4
104528,25
104533,8
105174,23
105459,3
105592,8
105721,8
105795,1
