owner_id,star_count
30,4
33,29
43,1
144,116
541,1
871,759
1093,15
1200,2
1231,1
1332,1
1412,89
1413,3
1455,1
1977,68
1992,48
2066,5
2158,1
2284,204
2302,3
2372,31
2404,1173
2441,545
2451,10
2455,211
2493,4
2600,1
2703,2
2707,1
2885,21
2940,64
2971,1
2996,4
3005,62
3165,3
3172,59
3252,479
3257,6
3279,4
3324,2
3339,2459
3404,14
3463,2
3492,1
3502,1
3516,2
3596,34
3609,37
3613,17
3616,6
3623,19
3650,1
3671,1
3676,35
3678,19
4199,34
4214,157
4460,2
4537,5
4541,12
4557,1
4563,3
4677,4
4735,14
4779,2
4793,1
4904,27
4921,3
5094,1506
5577,2
5638,2
5671,2
5888,4
5918,2
6089,338
6095,4
6104,8
6127,31
6164,42
6211,12
6249,38
6251,160
6271,2
6468,85
6658,1
6929,6
7069,24
7117,50
7140,1566
7344,2
7530,8
7536,10
7837,108
7937,1
8039,4
8045,1
8239,13
8295,47
8310,2
8312,2
8320,2015
8367,28
8527,164
8535,3
8590,2
8875,67
8944,2
9022,5
9081,1
9095,1
9284,10
9316,6
9325,9
9381,10
9387,106
9718,34
9843,27
9867,19
9883,389
9884,4
10141,2
10322,1
10411,4
10762,1
10855,1
10993,4
11255,1
11258,9
11405,3
11498,6
11603,1
11655,2
11657,2
11959,4
11961,9
11975,92
11988,2
12052,1
12096,50
12117,16
12118,1
12120,1
12213,4
12359,587
12377,57
12486,5
12563,1
12732,2
12764,38
12767,1
12826,259
12829,2
12836,1
12916,1
12931,1
13156,2
13206,1
13208,35
13374,1
13422,3
13511,326
13544,29
13699,3
13827,24
14177,259
14298,8
14374,9
14395,16
14467,8
14646,10958
14668,124
14676,1
14682,15
14688,1
14830,3
15090,50
15210,239
15243,1
15310,4
15446,1
15466,22
15661,2
16067,3
16188,1
16223,399
16258,2
16362,3
16381,6
16441,11
16500,10
16567,19
16713,3
16771,2
16830,1
16914,7
16937,6
17213,6
17372,8
17825,28
17833,3
17840,377
17920,215
18203,4
18270,1
18313,24
18385,391
18388,68
18422,95
18461,2
