owner_id,star_count
397,7
462,1
638,32
1286,1
1443,1
1908,1
3144,316
3153,2
3449,2
3645,3
3646,2
3775,1
4425,14
4841,4
4861,1
5868,6
6102,1
6592,2
6833,3
7473,1
7657,10
7787,1
7978,9
8077,1
8311,35
8829,15
9516,6
10139,1
10315,3
10370,1
10385,1
10957,1
12013,1
12014,1
12252,6
12589,4
13113,2
14229,5
14707,28
14728,1
14860,2
14863,12
16576,110
16722,4
17117,1
18185,4
19065,4
20242,168
20879,1
20983,1
21875,1
22453,6
23038,2
23397,38
23402,1115
23468,2
23469,2
23484,1
23521,1
24760,103
25471,1
26271,234
26277,31
26318,24
27356,2
27861,69
28493,2
28494,203
29572,1
30363,2
30867,1
32011,1
32237,4
32408,3
32489,8
32651,11
32773,5
33475,3
33529,15
33672,1
34256,1
35256,22
36888,2
37379,1
38163,4
38506,35
38522,11
38626,64
39510,24
39572,8
39721,514
41020,33
41571,3
42150,7
42777,1
43410,1
44021,2
44420,2
44723,1
45451,1
45551,1
46053,20
46162,4
46198,1
46523,1
46524,26
47090,1
47789,2
48067,12
48159,2
49502,1
50528,1
51235,1
51237,1
51244,1
51251,6
51252,1
51271,2
51679,216
51703,3
52315,1
52876,2
53416,36
53595,94
53627,2
53752,1
53935,1
54828,1
55334,2
55459,49
55649,10
55834,3
59226,2
59258,1
60019,20
60637,13
60931,2
60953,3
61011,4
61095,3
61699,42
62301,311
62683,28
64341,2
64424,2
65057,4
66055,140
66089,145
66550,4
66961,1
67802,2
68264,1
68462,1
68840,7
68939,232
69636,3
70422,2
70557,1
70651,15
71160,1
71775,1
73539,6
74479,135
74614,55
75503,118
75552,2
78633,3
79059,9
79065,44
79438,3
80490,14
80550,1
80816,57
81421,4
82290,1
84011,3
85164,75
86279,3
86392,1
86540,3
87113,1
87374,26
88215,2
89383,3
90529,27
90772,123
92890,583
93316,45
93535,193
93669,5
93676,1
93683,3
94126,1
94457,1
97048,3
97125,3
97950,51
99081,1
99400,31
100553,3
102277,1
102577,24
102729,1
102832,1
103431,168
104398,1
104401,2
104402,3
104403,1
104638,12
104758,2
105295,62
105585,8
106927,1
107588,1
108163,2
108257,5
108335,1
108379,2
108475,21
108539,5
109047,61
109636,2
110270,22
110731,1
111096,2
111365,1
111880,1
112312,1
112699,5
112700,2
113362,1
115644,3
115757,2
116519,3
116520,1
116654,18
117416,31
118293,1
118405,1
119231,11
120625,2
120819,3
121515,3
121744,2
122004,15
122008,1
122369,2
123069,1
123404,1
123841,1
123900,8
124725,8
126017,29
126099,3
