user_id,star_count
19,27
27,16
65,3
69,2254
78,35
79,10
81,8
92,19
93,7
109,5
112,1
129,18
142,17207
166,6
168,3
189,5
199,21
203,135
208,20
210,1
214,1
217,18
230,4
234,1
245,13
259,8
272,49
303,304
304,31
314,7
325,1
337,4
342,1
352,132
366,6
370,1
374,1
376,44
383,2
402,20
409,8
412,51
413,1
416,1
418,9
421,2
422,3
450,2
455,2
457,1
459,2
476,1
479,1
484,1
510,2
512,3
527,17
534,1424
580,9
587,1
601,114
609,119
614,2
617,26
633,2
642,1
671,1
681,36
684,1
696,4
700,2
701,3
707,5
709,37
717,65
729,8
732,11
733,50
744,5
750,4
773,10
775,1145
777,17
779,1
789,2
792,24
794,1
802,10
817,1
821,1
823,2
828,1
836,44
840,3
847,8
863,2
869,17
872,39
884,2
886,2
896,903
912,2
926,116
935,1
964,5
965,1
979,3
986,4
995,152
999,31
1001,21
1004,2
1005,2
1007,1
1014,1
1019,232
1030,2
1031,2
1036,2
1039,7
1043,2
1046,1
1063,60
1065,6
1075,1
1087,1
1095,2
1096,1
1110,1
1113,38
1117,1
1118,126
1120,2
1131,15
1145,44
1146,5499
1177,1
1235,1
1237,1
1246,7
1249,1
1262,1
1268,1
1274,1
1275,6
1276,20
1284,28
1288,6
1295,1
1316,3
1320,1
1327,12
1341,1
1343,1
1344,2
1348,1
1359,1
1367,4
1371,2
1372,1
1374,1
1392,6
1418,107
1424,1
1433,17
1442,1
1445,150
1446,2
1463,2
1473,3
1474,5
1475,6
1477,8
1485,13
1491,16
1505,32
1508,9
1534,1
1544,4
1547,1
1558,4
1559,57
1563,8
1564,34
1565,23
1568,6
1569,4
1570,108
1575,1
1577,17
1578,2
1580,3
1586,1
1591,10
1598,8
1600,2409
1601,1
1604,3
1607,4
1620,2
1630,47
1633,1
1636,4
1647,3
1679,3
1694,1
1703,70
1706,60
1738,252
1740,133
1745,35
1750,6
1751,3
1779,187
1782,126
1804,3
1880,308
1889,8
1894,124
1904,1860
1905,11
1919,1
1925,2
1929,16
1955,12
1969,1
1979,6
1989,27
1996,1
2038,10
2049,1
2051,1
2068,1
2069,14
2072,32
2076,352
2077,11
2078,4
2088,2
2090,13
2091,6
2115,1
2122,40
2140,62
2146,2
2147,1
2148,1
2152,1
2156,16958
2157,3
2159,1
2164,5
2169,4
2171,16
2175,3
2179,3
2180,1
2181,2
2184,1
2186,7
2192,108
2198,21
2202,1
2206,5092
2219,5
2224,10
2226,4
2230,8
2239,7
2252,16
2261,2
2264,6
2274,1
2308,3
2317,3
2318,3
2321,1
2355,1
2383,1
2398,9
2412,6
2413,5
2427,77
2444,1
2478,1
2492,2
2494,8
2504,1
2505,3
2530,13
2534,1
2550,3
2551,46
2552,16
2553,44
2554,1
2555,8
2556,21
2564,1
2573,2
2580,2
2584,11
2599,1
2601,11
2607,1
2608,6
2611,2
2615,5
2618,78
2625,2
2644,2
2655,4
2668,2
2674,2
2690,19
2710,550
2715,7
2719,2
2721,2
2725,1
2745,64
2759,3
2766,4
2772,1
2779,11
2792,1
2795,1
2817,1
2823,122
2835,1
2841,111
2842,26
2847,11
2853,2
2857,12
2863,3
2869,5
2877,3
2879,11
2891,1
2899,8
2903,5
2904,5
2906,2
2907,8
2910,11
2911,1
2917,1
2923,1
2932,2
2958,8
2968,4
2969,30
2973,121
2983,2
2997,743
3003,1
3004,50
3011,5
3031,1
3033,1
3045,1
3052,3
3063,2
3069,6
3083,57
3096,1
3099,3
3102,3
3105,2
3119,3
3123,25
3129,3
3131,4
3135,8
3151,1
3166,2
3179,6
3183,1
