user_id,star_count
145,19
627,6
1032,1
1760,36
2538,8
2752,30
2845,22
2960,4
3071,3
3073,36
3087,24
3253,4
3378,1
3723,3
4177,42
4264,17
4517,189
4663,31
4697,4
4723,4
4760,7
4782,3
4800,21
4915,3
4916,1
4942,33
5130,8
5331,1
5344,24
5724,1
6121,5
6198,75
6284,3
6385,72
6861,39
6913,1
7221,7
7244,9
7527,3
7551,15
8015,16
8018,331
8645,24
8797,2
8961,1
9309,1
9699,8
9861,5
9899,10
10034,1
10334,6
10430,4
10685,5
10821,23
10908,9
11265,2
11332,34
11333,18
11425,24
11542,85
11683,7
12191,11
12194,8
12205,46
12549,53
12794,61
12819,1
12850,4
12877,12
12932,20
13303,21
13337,2
13487,28
13837,5
14050,9
14386,1
14388,1
14465,4
14750,24
14918,5
15039,4
15214,2
15697,819
15885,10
16204,14
16286,21
16421,3
16497,4
17014,4
17063,2
17568,1
17714,1
17978,24
18025,1
18069,3
18075,49
18156,2
18350,3
18448,2
18508,2
18515,2
18619,20
18787,7
18854,40
18862,4
18964,13
19138,2
19148,4
19390,5
19410,13
19530,32
19565,12
19747,59
20022,78
20138,1
20178,16
20264,4
20280,40
20281,89
20372,1
20434,3
20576,17
20694,3
20742,19
20813,1
20821,12
20840,12
21082,1
21179,5
21184,7
21318,3
21628,104
21745,15
21879,1
22174,19
22284,44
22661,10
23309,2
23330,27
23349,107
23446,2
23765,8
24764,2
24789,2
25407,68
25478,1
25544,3
25615,2
25635,6
25677,10
25809,1
26289,2
26836,3
27294,36
27604,7
27725,58
27726,65
27892,24
28121,3
28126,6
28241,4
28606,75
29061,19
29265,2
29431,86
29538,2
29539,14
29641,15
30067,2
30188,226
31464,11
31479,13
31558,2
31763,1
32228,3
32245,4
32296,8
32356,3
32762,1
32781,2
32796,9
33002,1
33174,8
33176,22
33177,3
33244,15
33287,6
33388,3
33413,11
33637,54
33713,1
33813,1
33935,43
34254,2
34496,29
34678,1
34679,1
34790,3
34923,2
34933,26
35032,18
35247,92
35440,1
35567,11
35578,13
35586,28
35587,8
35588,64
35592,47
35626,1
35638,3
35639,29
35641,5
35650,3
35663,1
35678,1
35723,5
35746,68
35762,9
35772,7
35812,7
35982,4
36146,5
36474,18
36496,2
36600,2
36701,22
36705,107
36924,196
36951,1
37673,2
37873,81
38005,3
38089,5
38728,118
39233,1
39298,5
39530,123
39811,1
40334,6
40341,1
40582,5
40673,51
40833,1
40980,5
41209,16
41293,109
41631,2
41892,8
42186,90
42350,40
42351,363
42358,48
42360,15
42379,4
42425,38
42426,2
42438,17
42632,32
42970,2
43100,20
43432,1
43477,3
43550,10
43597,4
43617,1
43674,2
44128,1
44158,15
44183,5
44288,1
44535,8
44588,16
44681,1
44682,13
44801,16
44945,16
45002,20
45100,4
45160,3
45187,1
45270,19
45326,8
45461,39
45695,2
45742,12
45941,35
45976,3
45984,19
46388,1
46589,4
46791,6
47053,65
47138,211
47311,1
47526,3
47609,1
47615,7
48076,165
48162,1
48243,1
48350,4
48414,3
48443,1
48489,2
48593,2
48636,82
49379,2
49390,1
50878,117
50920,18
50927,2
51367,26
51583,18
52418,1
53150,4
53159,10
53695,1
54099,19
54178,7
54308,35
54443,1
54457,1
54463,4
54465,1
54510,11
54943,3
54998,23
55004,99
55233,2
55239,3
55241,2
55245,29
55388,3
56434,19
56476,80
56484,3
59391,5
59814,15
60041,3
60116,33
60201,1
60342,1
60388,5
60395,73
60616,16
60775,1
60989,22
61225,6
61289,3
61713,7
61720,10
61724,46
61738,13
61780,66
61820,18
61922,3
62305,3
62318,1
62351,3
62357,12
62367,5
62778,3
62974,16
62982,38
63108,1
63124,3
63367,149
63476,6
63545,10
63648,1
63658,4
63672,92
63781,71
63805,90
63881,7
63889,3
64574,626
64982,1
65063,11
65107,2
65110,13
65307,5
65345,19
66178,25
66233,17
66419,2
66431,4
66468,9
66517,1
66758,1
66866,16
67100,153
67122,2
67124,3
67259,3
67286,11
67666,234
67818,32
68125,10
68240,37
68867,36
68878,9
68982,2
69230,54
69244,104
69611,27
69984,2
70345,77
70613,2
70617,60
70647,1
70652,1
70680,9
70682,9
70697,25
70767,2
71198,3
71220,49
71428,24
71531,3
71535,2
72279,1
72549,1
72808,11
73055,47
73340,3
73588,22
73624,6
74009,9
74031,13
74159,1
74404,146
74630,260
74749,7
74905,43
74923,2
75387,68
76047,2
76530,14
76546,18
76727,1
77631,1
