user_id,fork_count
14,9
19,3
69,12
92,7
93,6
109,1
112,4
129,5
142,3
163,1
168,1
203,4
208,2
215,73
234,2
245,8
249,1
303,5
313,2
316,1
325,2
333,1
342,1
345,1
352,2
366,2
383,1
402,1
408,2
412,2
413,3
416,1
418,3
421,5
422,2
450,3
457,1
459,1
461,1
470,2
481,2
510,12
527,12
534,2
535,2
537,1
539,1
540,1
560,5
568,2
586,3
587,1
588,1
601,1
609,6
624,1
633,2
643,1
662,1
695,1
701,3
707,2
717,2
723,1
732,2
740,5
750,10
752,1
765,1
768,2
769,1
775,12
777,6
778,1
789,1
792,14
802,1
817,1
821,1
823,11
826,3
836,4
837,3
840,1
841,2
850,2
863,2
869,17
872,1
886,2
896,2
907,11
912,1
923,2
936,2
964,2
965,2
967,5
979,2
994,2
995,6
999,1
1001,8
1008,12
1014,2
1030,1
1031,14
1036,15
1043,1
1048,1
1050,1
1053,1
1065,3
1075,1
1079,2
1081,1
1082,2
1095,9
1096,6
1103,1
1110,3
1118,3
1120,8
1131,1
1145,14
1146,16
1170,4
1213,2
1246,1
1249,1
1252,2
1268,1
1274,4
1285,5
1314,1
1316,7
1320,1
1326,1
1327,3
1341,1
1344,4
1345,1
1348,1
1369,1
1374,2
1387,12
1392,4
1418,1
1422,3
1424,1
1426,1
1432,1
1433,1
1435,1
1439,6
1442,4
1445,7
1446,2
1463,1
1473,3
1477,9
1481,1
1491,9
1497,3
1505,4
1508,8
1534,5
1539,1
1544,1
1559,2
1565,1
1568,5
1575,4
1577,2
1578,1
1586,5
1591,3
1593,4
1601,3
1604,2
1607,1
1620,3
1630,9
1647,2
1695,2
1703,1
1706,1
1713,1
1738,12
1740,3
1750,2
1751,1
1779,8
1804,3
1880,2
1901,1
1904,7
1905,1
1907,3
1909,2
1940,1
1955,6
1979,7
1996,1
2016,1
2030,1
2069,4
2076,21
2077,2
2078,1
2088,3
2091,4
2138,15
2140,2
2146,4
2147,1
2149,3
2157,2
2164,9
2167,2
2169,2
2175,4
2177,1
2179,1
2181,1
2186,1
2192,1
2198,6
2206,65
2210,1
2220,1
2224,1
2232,2
2239,1
2252,1
2254,3
2261,3
2264,4
2289,1
2303,3
2318,1
2328,1
2330,3
2334,1
2345,1
2386,1
2401,5
2406,1
2412,1
2427,3
2429,1
2444,1
2490,1
2492,1
2504,3
2506,1
2550,1
2552,3
2556,3
2569,1
2573,1
2576,1
2579,2
2601,3
2607,2
2608,10
2615,1
2618,1
2622,10
2625,2
2659,1
2660,5
2668,2
2674,1
2690,13
2710,4
2711,5
2713,1
2721,3
2745,1
2766,3
2779,5
2792,2
2813,1
2817,1
2826,1
2842,1
2847,3
2848,1
2852,2
2853,2
2857,2
2879,5
2891,3
2893,1
2903,15
2907,7
2917,3
2929,3
2932,5
2933,4
2935,1
2938,10
2983,2
2988,1
2997,14
3002,2
3004,5
3010,3
3024,4
3031,1
3033,2
3045,1
3063,2
3083,2
3119,4
3120,2
3122,3
3123,1
3129,52
3131,1
3140,1
3141,1
3151,16
3160,2
3179,8
3183,2
3243,3
3261,1
3266,1
3267,7
3295,1
3298,1
3316,2
3336,1
3348,1
3352,2
3388,1
3403,4
3411,2
3423,4
3426,1
3428,1
3432,1
3442,2
3456,7
3465,1
3466,3
3469,3
3471,1
3476,1
3498,1
3509,1
3529,2
3530,2
3541,3
3545,1
3546,1
3548,2
3552,1
3558,6
3564,3
3571,4
3572,2
3584,13
3586,1
3602,8
3604,3
3619,1
3626,4
3638,1
3649,1
3652,2
3656,1
3660,1
3668,1
3711,1
3717,4
3727,1
3741,3
3750,5
3766,18
3771,1
3780,2
3789,2
3799,10
3808,5
3814,3
3816,7
3819,1
3832,4
3847,1
3848,3
3850,3
3852,6
3875,6
3876,4
3892,4
3894,3
3898,2
3906,1
3909,1
3914,3
3915,3
3917,6
3926,1
3932,2
3937,1
3947,1
3951,2
3953,2
4006,2
4008,7
4014,3
4018,1
4024,3
4028,1
4047,2
4063,2
4072,10
4083,2
4090,1
4108,2
4112,1
4131,1
4135,1
4136,1
4138,4
4139,4
4146,1
4159,3
4169,1
4176,4
4188,1
4189,4
4190,1
4196,1
4221,2
4258,3
4266,6
4269,3
4270,1
4271,7
4276,1
4293,1
4315,1
4326,1
4329,1
4334,1
4335,5
4342,6
4343,1
4344,1
4350,4
4354,8
4362,1
4368,3
4385,1
4387,2
4392,4
4394,1
4411,1
4415,2
4434,1
4447,6
4448,3
4452,1
4458,2
4467,2
4475,1
4480,2
4481,3
4507,5
4509,4
4512,1
4530,1
4538,4
4539,2
4561,12
4574,1
4577,18
4598,6
4655,1
4670,3
4671,1
4672,8
4681,4
4683,6
4704,1
4714,3
4725,8
4733,10
4739,5
4746,1
4747,2
4752,12
4754,2
4755,1
4764,1
4786,2
4787,1
4788,1
4791,1
4795,8
4796,1
4805,1
4834,8
4850,3
4859,1
4874,1
4875,1
4878,1
4882,1
4894,2
4897,4
4898,2
4907,1
4912,4
4923,1
4952,2
4960,1
4961,5
4968,1
4984,1
4992,2
5015,1
5032,2
5042,1
5054,1
5055,2
5067,5
5070,1
5086,5
5088,1
5092,1
5097,4
5100,10
5110,4
5122,1
5131,3
5177,4
5179,4
5184,11
5189,4
5195,8
5235,3
5253,6
5254,2
5266,2
5268,15
5275,34
5314,5
5351,1
5372,2
5393,1
5408,2
5409,12
5412,7
5421,2
5422,2
5425,9
5427,2
5430,1
5436,6
5438,4
5448,2
5449,1
5456,4
5463,2
5466,1
5468,5
5478,1
5491,3
5501,3
5509,4
5513,1
5525,1
5541,1
5555,1
5582,4
5595,2
5598,4
5611,1
5619,1
5628,3
5654,2
5662,1
5677,2
5697,1
5700,5
5737,4
5742,3
5762,1
5765,1
5772,1
5791,3
5794,1
5799,1
5802,8
5808,3
5816,3
5823,1
5833,3
5840,2
5877,2
5887,2
5895,7
5898,1
5903,1
5916,5
5917,2
5947,8
5953,4
5961,2
5962,1
5980,10
5982,2
5990,12
6003,6
6006,1
6049,1
6065,2
6078,3
6082,5
6083,2
6094,1
6108,6
6113,4
6115,8
6122,1
6142,1
6145,10
6151,1
6157,4
6159,2
6187,1
6188,1
6189,4
6219,2
6223,7
6224,1
6234,1
6240,5
6256,1
6258,1
6262,2
6276,3
6288,1
6292,1
6297,1
6301,5
6335,2
6353,1
6359,8
6380,4
6386,18
6387,9
6393,1
6395,7
6396,3
6400,3
6418,3
6426,1
6430,1
6463,3
6481,1
6483,2
6500,1
6503,2
6506,1
6511,1
6516,2
6530,1
6535,1
6542,2
6559,7
6576,3
6581,2
6594,1
6597,1
6598,3
6602,1
6669,1
6682,3
6685,3
6689,2
6704,1
6718,1
6727,1
6737,10
6759,1
6776,2
6781,2
6787,1
6789,1
6790,1
6795,1
6808,1
6813,2
6824,1
6836,2
6849,1
6854,2
6868,2
6894,4
6920,3
6925,2
6930,5
6931,10
6936,2
6940,13
6972,1
6978,2
6986,3
6993,2
6995,3
7008,5
7020,3
7033,2
7037,1
7046,4
7051,2
7058,1
7077,3
7095,5
7103,1
7110,1
7111,1
7130,2
7137,1
